rep,trait,subSize,BayesA,BayesB,BayesC,BRR,BL,RandomForest,SupportVectorMachineLinear,ElasticNet,NeuralNet,KernelPartialLeastSquares,LinearRegression,RKHS,GradientBoostMachine,ReleventVectorMachine,SVMRadial,SVMRadialSigma,BayesianNeuralNet,gBLUP
6,intensity,150,0.685976268727714,0.680773633026123,0.689574786657711,0.684465517737902,0.686587210031517,0.718902049318488,0.689879409771119,0.670422222480759,0.712168615821295,0.681836491471813,0.580687948196702,0.681769335690056,0.73642671204091,0.698474050462658,0.738507316273616,0.744413747153102,0.702511983514582,0.681786942184856
6,intensity,160,0.694880036500957,0.676165207623927,0.683477461830868,0.694708464185536,0.696046010075369,0.736694498279945,0.707487811653853,0.67191637679776,0.727661596995017,0.693074791240018,0.648699669723355,0.692867817629321,0.765348104164091,0.704060976622421,0.742713568119524,0.747671237879029,0.730330671947563,0.697047050339853
6,intensity,170,0.706548385225855,0.683725051599789,0.695883813157176,0.699438497241087,0.704635724530066,0.749696266067297,0.735153781361594,0.675580625288248,0.737782610847296,0.705083109943967,0.666012604642986,0.705236032752862,0.778499972109886,0.739794871360475,0.750662689661247,0.751195026307729,0.733101263946054,0.707078385029236
6,liking,50,0.585247047327121,0.6215302415038,0.571579297204955,0.547867610464095,0.561826590029722,0.635333857998706,0.539405339646169,0.61346584367206,0.561875591733214,0.401347702435242,0.349205481616443,0.545392128656298,0.603398047750756,0.512684283710235,0.547553281434273,0.537734618734149,0.568848971357322,0.522896456064353
6,liking,60,0.59626885703388,0.615702351539105,0.590288738978355,0.561068934404437,0.569142173504925,0.639075210504773,0.571165506605021,0.636938268597842,0.602587214312714,0.411959440031785,0.178258328734914,0.565996794236383,0.543626504892175,0.561525466501237,0.567846742620039,0.487831423695833,0.631652432754671,0.546917521616859
6,liking,70,0.603541736058618,0.620410377526324,0.596032972581828,0.564791182479902,0.58187786156282,0.622759129204968,0.56467695843268,0.630772289451138,0.601572765775162,0.374467105171402,-0.158110487656058,0.561706764781925,0.64443249271955,0.563029902301926,0.546190114833929,0.520949246877438,0.657840567450699,0.558152912708525
6,liking,80,0.577249753096935,0.594775006630915,0.567320182345777,0.533910231013621,0.554352910444171,0.661983598031883,0.543037672113352,0.612720038741228,0.581090179941133,0.382534370081329,0.259694501577283,0.534682747938748,0.615240822398656,0.470365841732546,0.560106920965399,0.568347486978948,0.579628029180069,0.532709747836613
6,liking,90,0.584701500131065,0.611157238352085,0.596993061936853,0.532102011864541,0.554698541769254,0.624905134008952,0.471443227602623,0.632779582241851,0.597631605448028,0.413185700725421,0.555090854495144,0.538639474332638,0.676559088950993,0.481594819719512,0.521159532176296,0.519059566059236,0.501861827564099,0.533320997293793
6,liking,100,0.658414903515161,0.659567340224575,0.646002755445113,0.642068910426673,0.645566025848406,0.678624635745381,0.586176194076977,0.681888767286332,0.67966343927297,0.661342303997698,0.443779458921819,0.643546560481463,0.664768064256114,0.521089627756775,0.492196561261868,0.440520877305593,0.594506221134019,0.640705022178221
6,liking,110,0.670441432794424,0.683257280801619,0.675432611761517,0.664839201375606,0.660109123044062,0.700597908451234,0.648959753012611,0.682956445247444,0.688035591536682,0.680816478693812,0.568138054108518,0.645995818093692,0.671395633312132,0.586697164439316,0.587099645015204,0.520646600531101,0.706407919879935,0.647230421330786
6,liking,120,0.670687837360036,0.673951041110877,0.669469440254635,0.639457075647363,0.65946295744423,0.692507137219179,0.675518312101036,0.676750090388617,0.687990724517621,0.448324717399707,0.560167484284328,0.640925035355166,0.702760724242087,0.647114358576401,0.631720019055494,0.629420097528665,0.715579469968671,0.637675238088934
6,liking,130,0.677458435664561,0.67629083466825,0.673720671232108,0.67103187649227,0.664974956971209,0.68550113683011,0.669839945806257,0.68032176060038,0.700063977551744,0.491048244882588,0.595969163061089,0.663380331674932,0.67710017558187,0.64240620440421,0.675249421952945,0.580016786547405,0.713757129405404,0.659771149779755
6,liking,140,0.686842774576727,0.686972483704638,0.687744526500074,0.685545799166024,0.668853331934954,0.699137735123228,0.647202937106495,0.685703700368214,0.705583435238977,0.498120497779778,0.616776649734263,0.667597217697573,0.684139839230048,0.632905979556399,0.638858654685692,0.63457604942531,0.710063133469161,0.667648160060421
6,liking,150,0.686426500003493,0.682958386900345,0.680296661041975,0.673790571706565,0.679663797307761,0.697963518002968,0.643164678259494,0.686867079578486,0.705082607838984,0.656166059878582,0.616384518741181,0.66252586153423,0.622954601984715,0.660743659932717,0.652836170684605,0.61191583247196,0.71420914810673,0.665362555875023
6,liking,160,0.683842394514248,0.672283725814109,0.666619414001932,0.67120589528373,0.66898766472169,0.694389569845665,0.661786055017475,0.680721413134276,0.706162823669617,0.656961448587169,0.667162070034123,0.667398490062476,0.645342308358082,0.642978750790223,0.656493532279506,0.637683809890038,0.711945417164971,0.66850741616381
6,liking,170,0.679083579744681,0.677106652953928,0.67919639637145,0.676560324081293,0.672349904225433,0.690996391309235,0.678622393642965,0.682223523184311,0.706611450303026,0.658175426698678,0.67338303011506,0.670982366568951,0.687848049783484,0.628712528089624,0.665406788330027,0.648800020041575,0.71346980266473,0.67398519680994
6,sour,50,0.638477809370514,0.633302668889929,0.640048669414772,0.585361040316238,0.635628383704641,0.459782515284418,0.55537369207917,0.473557438306256,0.598123279182309,0.531419870572596,0.197473587003631,0.587556488800238,0.637647708606392,0.426347167353689,0.298337719915232,0.29306898670077,0.546112952294993,0.597971956681587
6,sour,60,0.629187332095602,0.637336576701028,0.64767591683118,0.604597119346105,0.625349841872881,0.436605925318022,0.60383769753031,0.621431277025747,0.602535220947371,0.588253460287256,0.057461490186663,0.605405087127663,0.544962114162844,0.609010602107769,0.414537875886413,0.411919033642746,0.487592743304624,0.614329057038949
6,sour,70,0.638697895886391,0.620634870733819,0.631897290540254,0.633195712588679,0.637996852789913,0.425416255221586,0.581691458400112,0.598935827483558,0.642236731692232,0.607489087690348,0.139413267214688,0.639497580617126,0.50415392975393,0.669837260671784,0.449861093539644,0.451011681885037,0.510929982076128,0.642582541765474
6,sour,80,0.591187463203465,0.602401138711192,0.612850698902988,0.589603362505004,0.603404804111336,0.463012827287672,0.637238383631479,0.597252326788317,0.577180651970627,0.586271415535361,0.1149358683533,0.581726770875532,0.534664489049916,0.604694361991837,0.525268052646325,0.525293133694964,0.479704033880358,0.571831226386926
6,sour,90,0.62037662661565,0.615119033368063,0.638515871538225,0.62137332257276,0.627042397747016,0.451807490005,0.622050139030921,0.612065474474005,0.626062701696373,0.574465749065055,0.321339181951673,0.61886540809802,0.557509382394009,0.645067501619083,0.538603104718733,0.534649550151531,0.547929606491053,0.62054072868245
6,sour,100,0.605656673229674,0.604024436374951,0.612854575214525,0.588784068080221,0.610594494998362,0.462533670250169,0.58082433347959,0.584070449412972,0.60436221582466,0.55265602832419,0.375943588607123,0.589712314772696,0.559780826579959,0.602729434304946,0.52394122007929,0.523736850462808,0.526301195942454,0.598501142398223
6,sour,110,0.617225637169294,0.605812395612707,0.621779901482542,0.618794810865809,0.617246553895824,0.505943204190086,0.601584311173876,0.619278231189426,0.63018814624759,0.577187444556432,0.569722716806681,0.616637521171527,0.58148617471765,0.707549057041785,0.553476823982882,0.550754777185264,0.594627207308605,0.621096571172966
6,sour,120,0.638648890544498,0.642694788034439,0.648295933183563,0.641591219541383,0.636659770763122,0.479921902980192,0.603916447423637,0.65644098222987,0.622554092989064,0.570379414991902,0.673108388128357,0.641142821737265,0.595249420235957,0.713900341997689,0.512710356381888,0.531809069538265,0.545531819325626,0.65002221769724
6,sour,130,0.619963876982879,0.606638374345931,0.616308350998199,0.617661296650922,0.615412176241501,0.505294315819499,0.583676318009798,0.515973888429696,0.632560321796019,0.553041293558409,0.5799504741492,0.619461837618253,0.58049875129543,0.689232598214262,0.544809009062543,0.54976857973858,0.577675628392447,0.62634559478789
6,sour,140,0.636580059684155,0.63025365325115,0.634922433168528,0.640988783741611,0.639510837112128,0.500725740987479,0.594011087746379,0.589490813571881,0.62574679560746,0.560830768464336,0.574693040361086,0.642449239510285,0.524822990443165,0.670314065721417,0.527201793852144,0.527639323542249,0.620995293760541,0.64973068706503
6,sour,150,0.635488498095793,0.624790236972851,0.623652107612799,0.651308724010553,0.636323544201279,0.48582316349625,0.61467008941601,0.616896799782259,0.641205963015645,0.598650262583755,0.636855664495655,0.654015701501923,0.563290696398031,0.614865121131928,0.534380386375025,0.5452928685847,0.679134172649145,0.660290750833918
6,sour,160,0.659126831753033,0.647753096642102,0.656817754616352,0.700014821292875,0.657722999427182,0.497370489743077,0.672970232644745,0.642044164352898,0.668458686765434,0.613157444207629,0.705938775123527,0.694600886762162,0.613294606664275,0.681306818942382,0.599393840149918,0.601845099096873,0.741112848777499,0.702594622768104
6,sour,170,0.666570284664028,0.664372096382437,0.672513059367152,0.703204228375665,0.677163101898113,0.542021222976791,0.69407539525237,0.669456776746727,0.687404526179345,0.625084075788328,0.708347397860307,0.700621408522168,0.608128108803301,0.671788599366924,0.622845551018265,0.622576549902477,0.737895916239289,0.708278962260918
6,sweetness,50,0.835418434804912,0.851069191067325,0.840342037710639,0.805733567548192,0.828686644955774,0.831082005775053,0.806946495565652,0.847473016184957,0.819605832552693,0.811751812002403,0.505116131475937,0.815616943290845,0.802467788801336,0.811442604803825,0.720008899852178,0.727647924404329,0.816038987876844,0.820478137947616
6,sweetness,60,0.844095002779662,0.852806156910153,0.848447399005002,0.828334215108414,0.844177711991078,0.841482618073037,0.82859069463853,0.85585761464612,0.84214415489992,0.831558144567905,0.008628096579021,0.830264277252957,0.836037032077621,0.836624359669704,0.779712715921142,0.781238996699628,0.851186712465875,0.830645998131752
6,sweetness,70,0.836453190513744,0.849674386753207,0.841963824628165,0.823880942613365,0.836579668231885,0.808321682422357,0.818997025665183,0.844661072848529,0.835198844050336,0.83649512624129,0.404176458705628,0.820715602123049,0.816163582113553,0.821965369493295,0.777072899822532,0.777792774552333,0.863674129209301,0.822589384833957
6,sweetness,80,0.840741604586271,0.843906663924553,0.836291613185912,0.818434077065222,0.838056928888816,0.829189584479932,0.839347172714449,0.849008008186448,0.831438999680694,0.829200315865573,0.730895981980405,0.817805368338197,0.818772291248352,0.776595970886007,0.808800254087959,0.798105208531276,0.860022306585179,0.815160345673622
6,sweetness,90,0.839624523833745,0.848387045267278,0.839010652187584,0.808495740151065,0.83608501594995,0.857880200217237,0.815556507456298,0.837668545187284,0.843828282322363,0.812362526010774,0.795130232112394,0.807939721641495,0.808190385598822,0.784148223755017,0.790121783813833,0.797924405510045,0.836144243599715,0.806483138910371
6,sweetness,100,0.862787505977969,0.862614202306132,0.864868871848351,0.850196808619448,0.860383567185212,0.813480192510987,0.843196307600394,0.84636357206397,0.864004463129991,0.874775318177025,0.690495097108775,0.851899979512341,0.760166346003343,0.790134192415128,0.770676080297395,0.800818629320892,0.84222633549299,0.849088114799931
6,sweetness,110,0.87144501260455,0.8692254323305,0.873312159264343,0.857878066293552,0.868828002473075,0.810126102779212,0.841998793513762,0.857214324413531,0.871189987771491,0.877849492625082,0.736639007693244,0.857553873711329,0.815169215733535,0.807573280472315,0.826403444369929,0.795215426967153,0.86077328107275,0.860454933053351
6,sweetness,120,0.883076539779793,0.880805596506021,0.883832274762042,0.873734839925132,0.882301681610985,0.836273886230444,0.860916662148722,0.886561288131013,0.880538091267853,0.879039118578094,0.760902179303217,0.874497405143028,0.855883632406845,0.8095075564339,0.826887713023943,0.816607907183407,0.874653847222728,0.873734311894153
6,sweetness,130,0.881287446824911,0.878983378391444,0.877007353384332,0.869995369978736,0.877514936046496,0.848628732611497,0.851243687078827,0.864818821662127,0.883446101954962,0.879703777048443,0.802467586158192,0.872111197188082,0.846548717873682,0.82158322465492,0.842398752053775,0.831390783057584,0.878695512481493,0.872986851699902
6,sweetness,140,0.880146709838229,0.876303696461573,0.880776965756879,0.871410798788181,0.876486052173424,0.848131700757598,0.868691083737527,0.872661264042695,0.876981811346049,0.876964799219091,0.814878929767027,0.872537139069697,0.839758227436828,0.766873259534377,0.808726797530475,0.814999122782084,0.880342442956367,0.872697663702595
6,sweetness,150,0.879622399164865,0.877770762564121,0.877323591940372,0.868630426763304,0.873187989932447,0.84323310458352,0.862929980575566,0.869663344364587,0.872830555250839,0.870213523825417,0.820772574952367,0.86965443969066,0.840020559216708,0.795344171074595,0.799452089071706,0.816507153363358,0.88115037494354,0.869956765632259
6,sweetness,160,0.881120590643253,0.875527608398206,0.87854766744754,0.875224608553841,0.875670044731525,0.844685007100613,0.855752751373995,0.867851562134435,0.900647952598361,0.872215269121728,0.822865761314874,0.875555840598192,0.833175096026494,0.791307455207362,0.82401053001515,0.811435810583965,0.890209564204176,0.877256970689569
6,sweetness,170,0.876967029788025,0.873878335947237,0.876531650068266,0.870102351222799,0.876965090807749,0.839279228166247,0.855036264662643,0.860328278106385,0.873454346099085,0.867520328007898,0.84343049997272,0.86805355684316,0.845302990566755,0.812954876611946,0.806116720862154,0.80933802581975,0.886201147653738,0.870425791167973
6,umami,50,0.417095857592467,0.376438359386973,0.416171202336801,0.437408174040483,0.422100465648873,0.594229667417871,0.334293792604258,0.322506182931192,0.441101998089917,0.426762398442174,0.206686473849952,0.462701472613667,0.641928655014702,0.428991337344183,0.413079305162615,0.439285215932074,0.454855952094225,0.46045690499457
