id,liking,sweetness,sour,umami,intensity,Soluble solids,citric,malic acid,glucose,fructose,glutamic acid,1-nitro-2-phenylethane,1-nitro-3-methylbutane,1-octen-3-one,1-pentanol,1-penten-3-ol,1-penten-3-one,"2,5-dimethyl-4-hydroxy-3(2H)-furanone",2-butylacetate,2-ethylfuran,2-isobutylthiazole,2-methyl-1-butanol,2-methyl-2-butenal,2-methylbutyl acetate,2-methylbutyraldehyde,2-phenyl ethanol,3-methyl-1-butanol,3-methyl-1-pentanol,3-methyl-2-butenal,3-pentanone,4-carene,6-methyl-5-hepten-2-ol,6-methyl-5-hepten-2-one,b-cyclocitral,b-damascenone,benzaldehyde,benzothiazole,benzyl alcohol,benzyl cyanide,b-ionone,butyl acetate,cis-2-penten-1-ol,cis-3-hexen-1-ol,cis-3-hexenal,cis-3-hexenyl acetate,cis-4-decenal,eugenol,geranial,geranylacetone,guaiacol,heptaldehyde,hexanal,hexyl acetate,hexyl alcohol,isobutyl acetate,isopentyl acetate,isovaleraldehyde,isovaleric acid,isovaleronitrile,methional,methylsalicylate,neral,nonyl aldehyde,p-anisaldehyde,phenylacetaldehyde,prenyl acetate,propyl acetate,salicylaldehyde,"trans,trans-2,4-decadienal",trans-2-heptenal,trans-2-hexenal,trans-2-pentenal,trans-3-hexen-1-ol
429,18.0562,20.6517,17.4045,12.0787,30.2472,4.73333,4.23133,0.40851,16.37233,17.48519,1.51892,0.32821,5.58919,0.03955,3.06454,3.81345,1.72385,0.29983,0.85883,0.08879,1.84582,8.21268,8.28088,0.63084,4.15637,0.00697,23.28003,0.51997,0.39682,7.58513,0.02125,0.15031,3.07645,0.058036,0.00505,3.69955,0.21007,0.08334,0.12481,0.02347,0.16695,1.26731,20.75725,28.39243,1.35352,1.18032,0.38029,0.13515,0.9562,0.73672,1.12156,39.36163,0.16584,6.17007,0.60273,0.16419,13.25686,0.02687,4.40957,0.01691,0.45655,0.20271,0.14189,0.00216,0.14315,0.00698,0.56177,1.04018,0.01581,0.23251,0.85978,1.17832,0.27368
473,20.34,18.51,18.01,13.09,29.98,4.6,4.2,0.44,13.6,14.49,6.07,1.97,5.08,0.08,0.59,0.3,0.85,0.19,0.07,0.04,5.29,2.63,4.19,0.52,6.27,0.006,4.37,0.169,0.086,3.54,0.169,0.093,1.2,0.028,0.0034,1.37,0.087,1.57,0.43,0.009,0.061,0.34,14.41,30.1,1.35,0.63,0.048,0.07,0.02,0.31,2.36,83.9,0.5,4.36,0.44,0.077,5.79,0.064,2.95,1.14,1.24,0.12,0.1,0.007,0.25,0.006,0.13,0.17,0.01,0.36,1.07,0.63,0.23
581,18.86,23.62,11.87,15.22,31.59,6.07,4.42,0.33,23.01,24.12,10.64,0.08,4.31,0.03,0.95,2.84,1.52,0.09,0.05,0.18,2.62,3.5,2.48,0.045,8.26,0.009,12.98,0.168,0.065,4.82,0.021,0.026,0.32,0.021,0.0034,0.17,0.025,0.61,0.09,0.015,0.018,0.43,7.71,34.46,0.22,0.17,0.102,0.06,0.03,0.03,1.16,86.52,0.05,1.93,0.18,0.008,10.39,0.065,6.82,0.11,0.2,0.05,0.09,0.004,0.02,0.006,0.08,0.05,0.01,0.23,1.08,1.47,0.05
595,14.3509,16.6842,16.1053,10.8596,25.3684,4.4,3.1736,0.39298,15.68805,16.8366,1.4671,0.5688,7.18276,0.03174,4.13445,4.73416,0.72897,0.18816,0.08403,0.08042,4.30555,20.81294,21.28125,2.3359,5.39148,0.00981,61.26977,0.43421,0.25949,6.57913,0.01989,0.18706,3.18469,0.073446,0.005123,2.15082,0.16776,0.25926,0.11233,0.03333,0.28888,0.9792,29.75558,20.04217,1.70572,1.35391,0.47066,0.10027,1.06808,0.4054,1.01859,30.12066,0.34984,12.26233,2.30551,0.65359,19.37559,0.0369,3.99248,0.01885,0.51744,0.25501,0.11723,0.00218,0.18636,0.02735,1.88625,0.81844,0.01169,0.15847,0.73283,0.63852,0.409
602,7.61,13.29,16.06,12.06,22.16,6.45,3.34,0.32,20.18,20.52,12.15,1.07,11.82,0.02,0.66,0.45,0.63,0.23,0.03,0.3,7.81,1.81,1.72,0.053,5.13,0.023,11.91,0.012,0.051,1.5,0.012,0.057,1.43,0.018,0.0047,1.01,0.08,1.02,0.22,0.008,0.015,0.12,1.29,2.08,0.36,0.55,0.014,0.14,0.18,0.02,2.83,4.32,0.06,0.06,0.07,0.049,5.39,0.047,16.16,0.01,0.01,0.12,0.16,0.003,0.09,0.007,0.08,0.04,0.02,0.13,0.18,0.31,0.19
635,23.8764,23.7865,15.427,12.0337,28.7528,5.03333,3.80029,0.36563,18.52579,19.44253,1.27914,0.37579,1.06853,0.03118,4.70999,4.34963,1.36836,0.32424,0.80473,0.10734,1.43262,28.58715,16.80035,2.44216,4.07764,0.00768,18.42877,0.08278,0.27905,5.48885,0.0113,0.1674,2.96033,0.063242,0.004129,2.6124,0.19309,0.07175,0.16512,0.02405,0.21511,0.67348,29.98616,24.08912,1.21764,0.90475,0.20167,0.1319,0.9535,0.35086,0.58496,32.76019,0.24653,12.09772,2.87023,0.10285,5.15848,0.03012,0.96797,0.01278,0.14416,0.24854,0.1166,0.00277,0.18577,0.00947,0.72556,0.98629,0.01464,0.21069,1.32751,0.85266,0.36645
643,12.62,18.01,16.49,14.66,28.75,4.73,5.14,0.39,14.51,15.8,6.61,0.81,10.45,0.06,0.35,0.79,1.35,0.16,0.11,0.03,6.07,4.26,6.11,0.554,8.85,0.009,11.47,0.388,0.212,4.89,0.083,0.039,1.3,0.044,0.0046,1.34,0.046,1.73,0.27,0.012,0.109,2.01,6.98,60.38,1.08,0.62,0.028,0.11,0.06,0.08,3.6,107.35,0.29,0.4,0.38,0.165,16.71,0.184,6.96,1.03,0.35,0.06,0.14,0.006,0.32,0.009,0.18,0.18,0,0.24,2.22,1.01,0.4
657,17.3026,16.0263,11.1842,9.9737,22.4868,4.56667,1.84,0.97825,15.83899,16.41361,1.76378,1.95363,21.504,0.03553,2.61088,7.2336,1.21225,0.09803,0.39262,0.295,10.55313,35.28006,27.3945,3.37823,6.40135,0.70915,66.88644,0.57524,0.39951,5.28673,0.02117,0.06761,10.2454,0.104224,0.006148,9.30331,0.27951,0.58829,0.36597,0.02402,0.25232,1.44639,69.36631,47.98413,2.18834,0.82313,0.17568,0.26861,1.28557,0.59255,1.78275,43.47823,0.30119,10.44896,2.85188,0.51188,23.70869,0.04162,10.95654,0.13558,0.53632,0.2008,0.39431,0.00204,1.25291,0.01673,0.64958,0.9736,0.00589,0.12837,2.58302,1.16723,1.39955
681,14.35,16.92,17.03,17.7,30.28,4.33,4.74,0.53,12.84,14.62,6,0.24,1.33,0.01,0.32,0.92,0.47,0.02,0.09,0.02,2.02,1.83,2.6,0.051,9.37,0.005,3.74,0.071,0.045,3.05,0.015,0.026,0.45,0.019,0.0042,0.28,0.038,0.48,0.05,0.011,0.021,0.33,3.17,14.84,0.13,0.09,0.09,0.08,0.08,0.03,0.3,50.48,0.05,1.14,0.15,0.008,6.81,0.032,2.9,0.06,0.07,0.06,0.09,0.004,0.06,0.004,0.07,0.04,0,0.05,0.29,0.5,0.01
745,6.31,12.89,16.29,13.2,24.82,3.95,3.56,0.33,9.84,12.49,6.76,2.32,7.32,0.05,1.11,1.6,0.63,0.14,0.23,0.03,9.64,3.24,3.56,0.248,6.07,0.014,6.97,0.076,0.069,4.17,0.14,0.071,2.24,0.066,0.0036,0.77,0.073,2.85,0.61,0.025,0.054,0.46,11.73,14.5,0.75,0.39,0.08,0.08,0.05,0.04,2.74,40.17,0.19,4.3,0.31,0.038,9.13,0.054,5.85,1.52,0.05,0.15,0.1,0.003,0.21,0.009,0.11,0.08,0.01,0.25,0.38,0.39,0.07
