model,experiment,type,intensity,sour,sweetness,liking
gBLUP,76,genomic,0.238020221,0.077403568,0.209547489,-0.159895213
gBLUP,77,genomic,0.307290762,0.122484555,0.279770057,-0.146096102
gBLUP,78,genomic,0.247114714,0.068380225,0.11520777,0.084062773
gBLUP,79,genomic,0.354352146,0.385280801,0.256838757,-0.157881309
gBLUP,80,genomic,0.366694709,0.314371423,0.229060813,0.018885722
gBLUP,81,genomic,0.320429017,0.120227444,0.314979227,0.015072949
gBLUP,82,genomic,0.240249234,0.129065151,0.040011267,-0.080375745
gBLUP,83,genomic,0.20348879,0.192638029,0.057397241,-0.142518308
gBLUP,84,genomic,0.2215338,0.071284689,0.113520075,-0.139559334
gBLUP,85,genomic,0.199503557,0.068612857,0.213065411,-0.134517156
gBLUP,86,genomic,0.249209303,0.079477202,0.247818071,-0.174431067
gBLUP,87,genomic,0.188878479,0.102690977,0.073413161,-0.192365776
gBLUP,88,genomic,0.195876799,0.067960477,0.081217241,-0.048343106
gBLUP,89,genomic,0.274080825,0.20493317,0.311697109,-0.080749467
gBLUP,90,genomic,0.205615881,0.056689907,0.13844068,-0.089752816
gBLUP,91,genomic,0.369575034,0.157778054,0.20205771,-0.050938876
gBLUP,92,genomic,0.313412661,0.240067005,-0.024275098,-0.239611634
gBLUP,93,genomic,0.254952565,0.363016008,0.099561505,-0.15827401
gBLUP,94,genomic,0.323090461,0.177751675,0.191434097,-0.155607565
gBLUP,95,genomic,0.210967959,0.112897751,0.114316635,-0.152683859
gBLUP,96,genomic,0.210802668,0.182897585,0.154665344,-0.16118434
gBLUP,97,genomic,0.334233908,0.285033066,0.183328798,-0.147038252
gBLUP,98,genomic,0.225876092,0.292298641,0.178694522,-0.159885014
gBLUP,99,genomic,0.323021989,0.158852451,0.149145704,-0.029396494
gBLUP,100,genomic,0.421165015,0.142132814,0.276485464,-0.034657176
gBLUP,1,metabolomic,0.790712584,0.466866616,0.723163469,0.394957124
gBLUP,2,metabolomic,0.762774809,0.511533346,0.738432524,0.486301037
gBLUP,3,metabolomic,0.804738787,0.528842245,0.758868611,0.552067965
gBLUP,4,metabolomic,0.673659492,0.574753652,0.698660517,0.418357115
gBLUP,5,metabolomic,0.770175883,0.564486717,0.684656375,0.500289604
gBLUP,6,metabolomic,0.779893489,0.534171957,0.583192257,0.461965491
gBLUP,7,metabolomic,0.791574853,0.508761484,0.699872692,0.498254779
gBLUP,8,metabolomic,0.793874298,0.590957093,0.730177873,0.443445513
gBLUP,9,metabolomic,0.798043533,0.549198003,0.604603901,0.350727856
gBLUP,10,metabolomic,0.7655062,0.490019413,0.672421281,0.419107599
gBLUP,11,metabolomic,0.758335541,0.400108893,0.712275601,0.437354375
gBLUP,12,metabolomic,0.714227843,0.438655833,0.668787201,0.450221835
gBLUP,13,metabolomic,0.799365466,0.61896632,0.666786918,0.457136173
gBLUP,14,metabolomic,0.754978147,0.585278471,0.682962678,0.496217056
gBLUP,15,metabolomic,0.785167997,0.378024138,0.697427224,0.433803277
gBLUP,16,metabolomic,0.77415923,0.51410457,0.621087572,0.409965262
gBLUP,17,metabolomic,0.733833062,0.585771069,0.742177074,0.427986947
gBLUP,18,metabolomic,0.779722189,0.447373679,0.659986526,0.438457501
gBLUP,19,metabolomic,0.759073501,0.488737036,0.66968866,0.491604005
gBLUP,20,metabolomic,0.648781519,0.506796399,0.664654281,0.436330732
gBLUP,21,metabolomic,0.817830983,0.504063943,0.659966682,0.430513933
gBLUP,22,metabolomic,0.788073647,0.496006092,0.669708781,0.523751487
gBLUP,23,metabolomic,0.769026968,0.462694863,0.659290786,0.55082531
gBLUP,24,metabolomic,0.741798362,0.527742045,0.656602162,0.474477016
gBLUP,25,metabolomic,0.769787115,0.555099818,0.70353147,0.450850304
gBLUP,26,metabolomic,0.802169885,0.618855134,0.773878186,0.463448772
gBLUP,27,metabolomic,0.799229785,0.472853287,0.684788643,0.46120639
gBLUP,28,metabolomic,0.785551732,0.4109371,0.665390199,0.573125279
gBLUP,29,metabolomic,0.788107034,0.595728978,0.657224363,0.413561315
gBLUP,30,metabolomic,0.736921561,0.53198355,0.661600255,0.450439674
gBLUP,31,metabolomic,0.81664509,0.572757715,0.70758968,0.523485781
gBLUP,32,metabolomic,0.740553185,0.532636238,0.675563296,0.429819604
gBLUP,33,metabolomic,0.681755709,0.516937539,0.652027488,0.480207339
gBLUP,34,metabolomic,0.704745699,0.393531567,0.679241716,0.324236227
gBLUP,35,metabolomic,0.807579228,0.47554495,0.728336163,0.412183813
gBLUP,36,metabolomic,0.770703622,0.545875585,0.523844938,0.383610684
gBLUP,37,metabolomic,0.772049273,0.572268584,0.628134549,0.354492481
gBLUP,38,metabolomic,0.791893052,0.53693078,0.746939605,0.478502865
gBLUP,39,metabolomic,0.755109528,0.546513682,0.650270711,0.399840476
gBLUP,40,metabolomic,0.78822424,0.52413476,0.658831679,0.455992388
gBLUP,41,metabolomic,0.80898008,0.643875779,0.689754728,0.503862287
gBLUP,42,metabolomic,0.821295598,0.624224157,0.715288385,0.519198617
